id,code,name,category_id:id,implied_hue_id:id,default_grade_id:id,default_hue_id:id,default_shape_id:id
stone_AA,AA,Amazonite,cat_H,"","","",shape_PC
stone_AB,AB,Abalone,cat_H,"","","",shape_OV
stone_AE,AE,Ametrine,cat_S,"","","",shape_SC
stone_AG,AG,Agate,cat_H,"","",hue_1W,shape_OG
stone_AK,AK,Akoya 1 Hole,cat_R,"","",hue_1W,shape_RD
stone_AL,AL,Alexandrite,cat_S,"","","",shape_RD
stone_AM,AM,Amethyst,cat_S,"",grade_2,"",shape_RD
stone_AO,AO,Akoya 2 Holes,cat_R,"","","",""
stone_AP,AP,Apatite,cat_S,"","",hue_3G,shape_RD
stone_AQ,AQ,Aquamarine,cat_S,"",grade_3,"",shape_RD
stone_AU,AU,AQUAPRASE,cat_H,"","","",""
stone_AV,AV,Aventurine,cat_H,"","",hue_3G,shape_OG
stone_BA,BA,Black Diopside,cat_H,hue_1B,"",hue_6B,shape_RC
stone_BC,BC,Black Tourmaline,cat_S,hue_1B,grade_7,"",shape_RC
stone_BE,BE,Blue Agate,cat_H,hue_2B,"","",shape_AA
stone_BL,BL,Blue Topaz,cat_S,hue_2B,grade_1,"",shape_RD
stone_BO,BO,Bone,cat_H,"","","",shape_LK
stone_BR,BR,Bronzite,cat_H,"","","",shape_DN
stone_BU,BU,Blue Zircon,cat_S,hue_2B,"","",shape_RD
stone_BW,BW,Brown Tourmaline,cat_S,hue_5B,"","",""
stone_BY,BY,Beryl,cat_S,"",grade_1,hue_1Y,shape_OG
stone_CA,CA,Calcite,cat_H,"","","",shape_BU
stone_CC,CC,CERAMIC,cat_H,"","","",shape_CS
stone_CE,CE,Came,cat_H,"","","",shape_OV
stone_CG,CG,Cognac,cat_S,"",grade_1,"",shape_RD
stone_CH,CH,Chalcedony,cat_H,"","",hue_2B,shape_OG
stone_CI,CI,Citrine,cat_S,"",grade_3,"",shape_RD
stone_CM,CM,Champaign Quartz,cat_S,hue_6C,grade_1,"",shape_RD
stone_CN,CN,CARNELIAN,cat_H,"","","",shape_BD
stone_CO,CO,Coral,cat_H,"","",hue_5R,shape_RC
stone_CR,CR,Chrysophase,cat_S,"","","",shape_BU
stone_CS,CS,Crystal ,cat_H,"","","",""
stone_CT,CT,Concrete,cat_H,"","","",""
stone_CU,CU,Cubic,cat_S,"","","",shape_RW
stone_CY,CY,Chrysoberyl,cat_S,"","","",shape_DY
stone_DI,DI,Diamond,cat_D,"","",hue_2W,shape_RW
stone_DO,DO,Diopside,cat_H,"","",hue_3G,shape_RD
stone_DR,DR,Dragon Eye,cat_H,"","","",shape_LK
stone_DY,DY,Dyed Jade,cat_H,"","",hue_1L,shape_AS
stone_EA,EA,Eagle Eye,cat_H,"","","",shape_BL
stone_EM,EM,Emerald,cat_P,"",grade_5,"",shape_RD
stone_FA,FA,Fancy Toumaline,cat_S,"","","",shape_OG
stone_FI,FI,Fire Opal,cat_S,"","","",shape_OV
stone_FL,FL,Fluorite,cat_S,"","","",""
