id,shade_id:id,grade_id:id,hue_id:id
map_shade_2,pdp_stone.shade_2,gem_notation.grade_5,""
map_shade_3,pdp_stone.shade_3,gem_notation.grade_6,""
map_shade_A,pdp_stone.shade_A,gem_notation.grade_1,""
map_shade_AA,pdp_stone.shade_AA,gem_notation.grade_2,""
map_shade_AAA,pdp_stone.shade_AAA,gem_notation.grade_3,""
map_shade_AAAA,pdp_stone.shade_AAAA,gem_notation.grade_4,""
map_shade_AK,pdp_stone.shade_AK,"",gem_notation.hue_1A
map_shade_AUB,pdp_stone.shade_AUB,"",gem_notation.hue_2A
map_shade_B2,pdp_stone.shade_B2,"",gem_notation.hue_3A
map_shade_BB,pdp_stone.shade_BB,"",gem_notation.hue_4A
map_shade_BG,pdp_stone.shade_BG,"",gem_notation.hue_5A
map_shade_BK,pdp_stone.shade_BK,"",gem_notation.hue_1B
map_shade_BL,pdp_stone.shade_BL,"",gem_notation.hue_2B
map_shade_BLO,pdp_stone.shade_BLO,"",gem_notation.hue_3B
map_shade_BLST,pdp_stone.shade_BLST,"",gem_notation.hue_4B
map_shade_BR,pdp_stone.shade_BR,"",gem_notation.hue_5B
map_shade_BST,pdp_stone.shade_BST,"",gem_notation.hue_6B
map_shade_C,pdp_stone.shade_C,gem_notation.grade_7,""
map_shade_CA,pdp_stone.shade_CA,"",gem_notation.hue_1C
map_shade_CD,pdp_stone.shade_CD,"",gem_notation.hue_2C
map_shade_CDA,pdp_stone.shade_CDA,gem_notation.grade_3,gem_notation.hue_3C
map_shade_CDY,pdp_stone.shade_CDY,"",gem_notation.hue_4C
map_shade_CH,pdp_stone.shade_CH,"",gem_notation.hue_5C
map_shade_CHP,pdp_stone.shade_CHP,"",gem_notation.hue_6C
map_shade_CS,pdp_stone.shade_CS,gem_notation.grade_2,gem_notation.hue_1M
map_shade_CVD,pdp_stone.shade_CVD,"",gem_notation.hue_1S
map_shade_DD,pdp_stone.shade_DD,gem_notation.grade_3,gem_notation.hue_1D
map_shade_DF,pdp_stone.shade_DF,gem_notation.grade_3,""
map_shade_DM,pdp_stone.shade_DM,gem_notation.grade_3,gem_notation.hue_2M
map_shade_EB,pdp_stone.shade_EB,"",gem_notation.hue_1E
map_shade_FF,pdp_stone.shade_FF,"",gem_notation.hue_1F
map_shade_GBL,pdp_stone.shade_GBL,"",gem_notation.hue_1G
map_shade_GD,pdp_stone.shade_GD,gem_notation.grade_5,""
map_shade_GO,pdp_stone.shade_GO,"",gem_notation.hue_2G
map_shade_GR,pdp_stone.shade_GR,"",gem_notation.hue_3G
map_shade_GY,pdp_stone.shade_GY,"",gem_notation.hue_4G
map_shade_GYA,pdp_stone.shade_GYA,gem_notation.grade_1,gem_notation.hue_4G
map_shade_GYAA,pdp_stone.shade_GYAA,gem_notation.grade_2,gem_notation.hue_4G
map_shade_GYAAA,pdp_stone.shade_GYAAA,gem_notation.grade_3,gem_notation.hue_4G
map_shade_IC,pdp_stone.shade_IC,"",gem_notation.hue_1I
map_shade_ICE,pdp_stone.shade_ICE,"",gem_notation.hue_2D
map_shade_JAD,pdp_stone.shade_JAD,"",gem_notation.hue_1J
map_shade_LAV,pdp_stone.shade_LAV,"",gem_notation.hue_1L
map_shade_LBL,pdp_stone.shade_LBL,gem_notation.grade_1,gem_notation.hue_2B
map_shade_LBR,pdp_stone.shade_LBR,gem_notation.grade_1,gem_notation.hue_5B
map_shade_LC,pdp_stone.shade_LC,gem_notation.grade_1,gem_notation.hue_7C
map_shade_LCM,pdp_stone.shade_LCM,gem_notation.grade_1,gem_notation.hue_8C
map_shade_LD,pdp_stone.shade_LD,gem_notation.grade_1,gem_notation.hue_1D
map_shade_LF,pdp_stone.shade_LF,gem_notation.grade_1,""
map_shade_LI,pdp_stone.shade_LI,"",gem_notation.hue_2L
map_shade_LPL,pdp_stone.shade_LPL,gem_notation.grade_1,gem_notation.hue_3L
map_shade_LVIO,pdp_stone.shade_LVIO,gem_notation.grade_1,gem_notation.hue_1V
map_shade_M,pdp_stone.shade_M,gem_notation.grade_2,""
map_shade_ML,pdp_stone.shade_ML,"",gem_notation.hue_2M
map_shade_MLY,pdp_stone.shade_MLY,"",gem_notation.hue_3M
map_shade_MT,pdp_stone.shade_MT,"",gem_notation.hue_4M
map_shade_MUL,pdp_stone.shade_MUL,"",gem_notation.hue_5M
map_shade_MVIO,pdp_stone.shade_MVIO,gem_notation.grade_2,gem_notation.hue_1V
map_shade_NAT,pdp_stone.shade_NAT,"",gem_notation.hue_1N
map_shade_OC,pdp_stone.shade_OC,"",gem_notation.hue_1O
map_shade_OR,pdp_stone.shade_OR,"",gem_notation.hue_2O
map_shade_ORL,pdp_stone.shade_ORL,gem_notation.grade_1,gem_notation.hue_2O
map_shade_ORM,pdp_stone.shade_ORM,gem_notation.grade_2,gem_notation.hue_2O
map_shade_PAD,pdp_stone.shade_PAD,"",gem_notation.hue_1P
map_shade_PARA,pdp_stone.shade_PARA,"",gem_notation.hue_2P
map_shade_PCK,pdp_stone.shade_PCK,"",gem_notation.hue_3P
map_shade_PF,pdp_stone.shade_PF,gem_notation.grade_3,gem_notation.hue_4P
map_shade_PK,pdp_stone.shade_PK,"",gem_notation.hue_4P
map_shade_PL,pdp_stone.shade_PL,gem_notation.grade_1,gem_notation.hue_4P
map_shade_PLM,pdp_stone.shade_PLM,gem_notation.grade_1,gem_notation.hue_5P
map_shade_PM,pdp_stone.shade_PM,gem_notation.grade_2,gem_notation.hue_4P
map_shade_PMM,pdp_stone.shade_PMM,gem_notation.grade_2,gem_notation.hue_5P
map_shade_PURP,pdp_stone.shade_PURP,"",gem_notation.hue_6P
map_shade_R,pdp_stone.shade_R,gem_notation.grade_1,gem_notation.hue_1N
map_shade_RB,pdp_stone.shade_RB,"",gem_notation.hue_1R
map_shade_RBG,pdp_stone.shade_RBG,gem_notation.grade_5,gem_notation.hue_1R
map_shade_RCT,pdp_stone.shade_RCT,"",gem_notation.hue_2R
map_shade_REA,pdp_stone.shade_REA,"",gem_notation.hue_3R
map_shade_REC,pdp_stone.shade_REC,"",gem_notation.hue_4R
map_shade_RED,pdp_stone.shade_RED,"",gem_notation.hue_5R
map_shade_RSN,pdp_stone.shade_RSN,"",gem_notation.hue_6R
map_shade_RT,pdp_stone.shade_RT,"",gem_notation.hue_7R
map_shade_SA,pdp_stone.shade_SA,"",gem_notation.hue_2S
map_shade_SAL,pdp_stone.shade_SAL,"",gem_notation.hue_3S
map_shade_SI,pdp_stone.shade_SI,"",gem_notation.hue_7B
map_shade_SIL,pdp_stone.shade_SIL,"",gem_notation.hue_4S
map_shade_SMO,pdp_stone.shade_SMO,"",gem_notation.hue_5S
map_shade_SP,pdp_stone.shade_SP,"",gem_notation.hue_6S
map_shade_SR,pdp_stone.shade_SR,"",gem_notation.hue_7S
map_shade_SSP,pdp_stone.shade_SSP,"",gem_notation.hue_8S
map_shade_ST,pdp_stone.shade_ST,"",gem_notation.hue_9S
map_shade_T1,pdp_stone.shade_T1,"",gem_notation.hue_1T
map_shade_T2,pdp_stone.shade_T2,"",gem_notation.hue_2T
map_shade_T3,pdp_stone.shade_T3,"",gem_notation.hue_3T
map_shade_TAH,pdp_stone.shade_TAH,"",gem_notation.hue_4T
map_shade_TL,pdp_stone.shade_TL,"",gem_notation.hue_5T
map_shade_VIO,pdp_stone.shade_VIO,"",gem_notation.hue_1V
map_shade_W1,pdp_stone.shade_W1,"",gem_notation.hue_2W
map_shade_W2,pdp_stone.shade_W2,"",gem_notation.hue_3W
map_shade_W3,pdp_stone.shade_W3,"",gem_notation.hue_4W
map_shade_WA,pdp_stone.shade_WA,"",gem_notation.hue_5W
map_shade_WH,pdp_stone.shade_WH,"",gem_notation.hue_1W
map_shade_WHB,pdp_stone.shade_WHB,"",gem_notation.hue_6W
map_shade_WHCE,pdp_stone.shade_WHCE,"",gem_notation.hue_7W
map_shade_WHD,pdp_stone.shade_WHD,"",gem_notation.hue_8W
map_shade_WHY,pdp_stone.shade_WHY,"",gem_notation.hue_9W
map_shade_WI1,pdp_stone.shade_WI1,"",gem_notation.hue_1H
map_shade_WI2,pdp_stone.shade_WI2,"",gem_notation.hue_1K
map_shade_WI3,pdp_stone.shade_WI3,"",gem_notation.hue_1Q
map_shade_W_SA,pdp_stone.shade_W_SA,"",gem_notation.hue_1W
map_shade_WY,pdp_stone.shade_WY,"",gem_notation.hue_1U
map_shade_YL,pdp_stone.shade_YL,gem_notation.grade_1,gem_notation.hue_1Y
map_shade_YLM,pdp_stone.shade_YLM,gem_notation.grade_1,gem_notation.hue_2Y
map_shade_YM,pdp_stone.shade_YM,gem_notation.grade_2,gem_notation.hue_1Y
map_shade_YS,pdp_stone.shade_YS,gem_notation.grade_3,gem_notation.hue_1Y
