id,shape_id:id
gem_notation.shape_AA,pdp_stone.shape_A120
gem_notation.shape_AB,pdp_stone.shape_A122
gem_notation.shape_AC,pdp_stone.shape_A123
gem_notation.shape_AD,pdp_stone.shape_A124
gem_notation.shape_AE,pdp_stone.shape_A129
gem_notation.shape_AF,pdp_stone.shape_A13
gem_notation.shape_AG,pdp_stone.shape_A14
gem_notation.shape_AH,pdp_stone.shape_A145
gem_notation.shape_AI,pdp_stone.shape_A177
gem_notation.shape_AJ,pdp_stone.shape_A184
gem_notation.shape_AK,pdp_stone.shape_A185
gem_notation.shape_AL,pdp_stone.shape_A187
gem_notation.shape_AM,pdp_stone.shape_A315
gem_notation.shape_AN,pdp_stone.shape_A390
gem_notation.shape_AO,pdp_stone.shape_A45
gem_notation.shape_AP,pdp_stone.shape_A653
gem_notation.shape_AQ,pdp_stone.shape_A71
gem_notation.shape_AR,pdp_stone.shape_A72
gem_notation.shape_AS,pdp_stone.shape_A69S
gem_notation.shape_AT,pdp_stone.shape_A73
gem_notation.shape_AU,pdp_stone.shape_DSK
gem_notation.shape_AX,pdp_stone.shape_A118
gem_notation.shape_BA,pdp_stone.shape_BAF
gem_notation.shape_BB,pdp_stone.shape_BG
gem_notation.shape_BC,pdp_stone.shape_BGBR
gem_notation.shape_BD,pdp_stone.shape_BEAD
gem_notation.shape_BE,pdp_stone.shape_BEA
gem_notation.shape_BF,pdp_stone.shape_BGCAB
gem_notation.shape_BG,pdp_stone.shape_BAGF
gem_notation.shape_BH,pdp_stone.shape_BR_RD
gem_notation.shape_BI,pdp_stone.shape_BRD
gem_notation.shape_BJ,pdp_stone.shape_BUL
gem_notation.shape_BK,pdp_stone.shape_BUT
gem_notation.shape_BL,pdp_stone.shape_BAL
gem_notation.shape_BQ,pdp_stone.shape_BQ
gem_notation.shape_BR,pdp_stone.shape_BAR
gem_notation.shape_BT,pdp_stone.shape_BGBT
gem_notation.shape_BU,pdp_stone.shape_BUFTO
gem_notation.shape_CA,pdp_stone.shape_CUCAB
gem_notation.shape_CB,pdp_stone.shape_CUBUF
gem_notation.shape_CC,pdp_stone.shape_CCBRI
gem_notation.shape_CH,pdp_stone.shape_CHM
gem_notation.shape_CI,pdp_stone.shape_CIR
gem_notation.shape_CO,pdp_stone.shape_CONCA
gem_notation.shape_CS,pdp_stone.shape_CUS
gem_notation.shape_CT,pdp_stone.shape_COTCC
gem_notation.shape_CU,pdp_stone.shape_CUBRI
gem_notation.shape_CV,pdp_stone.shape_CUV
gem_notation.shape_DA,pdp_stone.shape_DCC
gem_notation.shape_DB,pdp_stone.shape_DBC
gem_notation.shape_DC,pdp_stone.shape_DBCF
gem_notation.shape_DD,pdp_stone.shape_DCD
gem_notation.shape_DE,pdp_stone.shape_DCDP
gem_notation.shape_DF,pdp_stone.shape_DCO
gem_notation.shape_DG,pdp_stone.shape_DCR
gem_notation.shape_DH,pdp_stone.shape_DFB
gem_notation.shape_DI,pdp_stone.shape_DFPS
gem_notation.shape_DJ,pdp_stone.shape_DFS
gem_notation.shape_DK,pdp_stone.shape_DKF
gem_notation.shape_DL,pdp_stone.shape_DKS
gem_notation.shape_DM,pdp_stone.shape_DCMQ
gem_notation.shape_DN,pdp_stone.shape_DN
gem_notation.shape_DO,pdp_stone.shape_DBO
gem_notation.shape_DP,pdp_stone.shape_DBP
gem_notation.shape_DQ,pdp_stone.shape_DNOV
gem_notation.shape_DR,pdp_stone.shape_DBR
gem_notation.shape_DS,pdp_stone.shape_DCPS
gem_notation.shape_DT,pdp_stone.shape_DOB
gem_notation.shape_DU,pdp_stone.shape_DP
gem_notation.shape_DV,pdp_stone.shape_DFOV
gem_notation.shape_DW,pdp_stone.shape_DRF
gem_notation.shape_DX,pdp_stone.shape_DRL
gem_notation.shape_DY,pdp_stone.shape_DRP
gem_notation.shape_DZ,pdp_stone.shape_DRS
gem_notation.shape_FA,pdp_stone.shape_FAN
gem_notation.shape_FB,pdp_stone.shape_FRP
gem_notation.shape_FC,pdp_stone.shape_FCU
gem_notation.shape_FD,pdp_stone.shape_FRD
gem_notation.shape_FE,pdp_stone.shape_FTP
gem_notation.shape_FF,pdp_stone.shape_FTR
gem_notation.shape_FG,pdp_stone.shape_FTBG
gem_notation.shape_FK,pdp_stone.shape_FKT
gem_notation.shape_FM,pdp_stone.shape_FMQ
gem_notation.shape_FO,pdp_stone.shape_FOV
gem_notation.shape_FP,pdp_stone.shape_FPS
gem_notation.shape_FQ,pdp_stone.shape_FSQ
gem_notation.shape_FR,pdp_stone.shape_FRB
gem_notation.shape_FS,pdp_stone.shape_FRS
gem_notation.shape_FT,pdp_stone.shape_FRT
gem_notation.shape_HA,pdp_stone.shape_HAFM
gem_notation.shape_HB,pdp_stone.shape_HB
gem_notation.shape_HC,pdp_stone.shape_HSB
gem_notation.shape_HD,pdp_stone.shape_HSCAB
gem_notation.shape_HE,pdp_stone.shape_HEX
gem_notation.shape_HF,pdp_stone.shape_HSF
gem_notation.shape_HG,pdp_stone.shape_HSS
gem_notation.shape_HL,pdp_stone.shape_HALF
gem_notation.shape_HM,pdp_stone.shape_HMBR
gem_notation.shape_HS,pdp_stone.shape_HS
gem_notation.shape_HT,pdp_stone.shape_HST
gem_notation.shape_KI,pdp_stone.shape_KIT
gem_notation.shape_LB,pdp_stone.shape_LFBR
gem_notation.shape_LF,pdp_stone.shape_LF
gem_notation.shape_LG,pdp_stone.shape_LG
gem_notation.shape_LK,pdp_stone.shape_LK
gem_notation.shape_LO,pdp_stone.shape_LOT
gem_notation.shape_LZ,pdp_stone.shape_LOZ
gem_notation.shape_MA,pdp_stone.shape_MQBRI
gem_notation.shape_MB,pdp_stone.shape_MQB
gem_notation.shape_MC,pdp_stone.shape_MQCAB
gem_notation.shape_MD,pdp_stone.shape_MXCAB
gem_notation.shape_MI,pdp_stone.shape_MIS
gem_notation.shape_MQ,pdp_stone.shape_MQ
gem_notation.shape_MR,pdp_stone.shape_MQBR
gem_notation.shape_MX,pdp_stone.shape_MIX
gem_notation.shape_NT,pdp_stone.shape_NTM
gem_notation.shape_OA,pdp_stone.shape_ORC
gem_notation.shape_OB,pdp_stone.shape_OCBT
gem_notation.shape_OC,pdp_stone.shape_OCBRI
gem_notation.shape_OD,pdp_stone.shape_OTCAB
gem_notation.shape_OE,pdp_stone.shape_OV_BR
gem_notation.shape_OF,pdp_stone.shape_OVB
gem_notation.shape_OG,pdp_stone.shape_OVCAB
gem_notation.shape_OH,pdp_stone.shape_OVCAV
gem_notation.shape_OI,pdp_stone.shape_OVBRI
gem_notation.shape_OJ,pdp_stone.shape_OVT
gem_notation.shape_OR,pdp_stone.shape_OCRC
gem_notation.shape_OT,pdp_stone.shape_OCT
gem_notation.shape_OV,pdp_stone.shape_OV
gem_notation.shape_PA,pdp_stone.shape_PSCAV
gem_notation.shape_PB,pdp_stone.shape_PS_BR
gem_notation.shape_PC,pdp_stone.shape_PSCAB
gem_notation.shape_PD,pdp_stone.shape_PSS
gem_notation.shape_PF,pdp_stone.shape_PSF
gem_notation.shape_PI,pdp_stone.shape_PSBRI
gem_notation.shape_PR,pdp_stone.shape_PR
gem_notation.shape_PS,pdp_stone.shape_PS
gem_notation.shape_PT,pdp_stone.shape_PSBT
gem_notation.shape_PU,pdp_stone.shape_PUK
gem_notation.shape_RA,pdp_stone.shape_RADI
gem_notation.shape_RB,pdp_stone.shape_RD_BR
gem_notation.shape_RC,pdp_stone.shape_RDCAB
