id,type_id:id
gem_notation.stone_AA,pdp_stone.type_AMZ
gem_notation.stone_AB,pdp_stone.type_ABA
gem_notation.stone_AE,pdp_stone.type_AMET
gem_notation.stone_AG,pdp_stone.type_AGA
gem_notation.stone_AK,pdp_stone.type_AK1
gem_notation.stone_AL,pdp_stone.type_ALX
gem_notation.stone_AM,pdp_stone.type_AME
gem_notation.stone_AO,pdp_stone.type_AK2
gem_notation.stone_AP,pdp_stone.type_AP
gem_notation.stone_AQ,pdp_stone.type_AQ
gem_notation.stone_AU,pdp_stone.type_AQP
gem_notation.stone_AV,pdp_stone.type_AVT
gem_notation.stone_BA,pdp_stone.type_BDI
gem_notation.stone_BC,pdp_stone.type_BKTOU
gem_notation.stone_BE,pdp_stone.type_BAG
gem_notation.stone_BL,pdp_stone.type_BT
gem_notation.stone_BO,pdp_stone.type_BON
gem_notation.stone_BR,pdp_stone.type_BRZ
gem_notation.stone_BU,pdp_stone.type_BZ
gem_notation.stone_BW,pdp_stone.type_BTOUR
gem_notation.stone_BY,pdp_stone.type_BRL
gem_notation.stone_CA,pdp_stone.type_CAC
gem_notation.stone_CC,pdp_stone.type_CER
gem_notation.stone_CE,pdp_stone.type_CAM
gem_notation.stone_CG,pdp_stone.type_COG
gem_notation.stone_CH,pdp_stone.type_CHA
gem_notation.stone_CI,pdp_stone.type_CIT
gem_notation.stone_CM,pdp_stone.type_CHP
gem_notation.stone_CN,pdp_stone.type_CAR
gem_notation.stone_CO,pdp_stone.type_CORAL
gem_notation.stone_CR,pdp_stone.type_CHRP
gem_notation.stone_CS,pdp_stone.type_CRY
gem_notation.stone_CT,pdp_stone.type_CCT
gem_notation.stone_CU,pdp_stone.type_CUB
gem_notation.stone_CY,pdp_stone.type_CHR
gem_notation.stone_DI,pdp_stone.type_DTS
gem_notation.stone_DO,pdp_stone.type_DIO
gem_notation.stone_DR,pdp_stone.type_DRE
gem_notation.stone_DY,pdp_stone.type_DYJ
gem_notation.stone_EA,pdp_stone.type_EAG
gem_notation.stone_EM,pdp_stone.type_EM
gem_notation.stone_FA,pdp_stone.type_FYTOU
gem_notation.stone_FI,pdp_stone.type_FOP
gem_notation.stone_FL,pdp_stone.type_FLU
gem_notation.stone_GA,pdp_stone.type_GA
gem_notation.stone_GE,pdp_stone.type_GTOUR
gem_notation.stone_GR,pdp_stone.type_GQ
gem_notation.stone_HE,pdp_stone.type_HMT
gem_notation.stone_IO,pdp_stone.type_IOL
gem_notation.stone_JA,pdp_stone.type_JAD
gem_notation.stone_JE,pdp_stone.type_JET
gem_notation.stone_JS,pdp_stone.type_JSP
gem_notation.stone_KU,pdp_stone.type_KUN
gem_notation.stone_KY,pdp_stone.type_KYA
gem_notation.stone_LA,pdp_stone.type_LAP
gem_notation.stone_LB,pdp_stone.type_LAB
gem_notation.stone_LE,pdp_stone.type_LAQ
gem_notation.stone_MA,pdp_stone.type_MLK
gem_notation.stone_MB,pdp_stone.type_MAB
gem_notation.stone_MI,pdp_stone.type_MOI
gem_notation.stone_MN,pdp_stone.type_MGA
gem_notation.stone_MO,pdp_stone.type_MON
gem_notation.stone_MR,pdp_stone.type_MOR
gem_notation.stone_MS,pdp_stone.type_MIS
gem_notation.stone_MT,pdp_stone.type_MOP
gem_notation.stone_NE,pdp_stone.type_NEP
gem_notation.stone_OB,pdp_stone.type_OBS
gem_notation.stone_OL,pdp_stone.type_OLQ
gem_notation.stone_ON,pdp_stone.type_ONY
gem_notation.stone_OP,pdp_stone.type_OP
gem_notation.stone_PA,pdp_stone.type_PRL
gem_notation.stone_PB,pdp_stone.type_PAR
gem_notation.stone_PE,pdp_stone.type_PER
gem_notation.stone_PH,pdp_stone.type_PR1
gem_notation.stone_PI,pdp_stone.type_PTOUR
gem_notation.stone_PL,pdp_stone.type_PR2
gem_notation.stone_PN,pdp_stone.type_PQA
gem_notation.stone_PO,pdp_stone.type_POR
gem_notation.stone_PR,pdp_stone.type_PREH
gem_notation.stone_PU,pdp_stone.type_BUT
gem_notation.stone_QU,pdp_stone.type_QUB
gem_notation.stone_RB,pdp_stone.type_RUBE
gem_notation.stone_RC,pdp_stone.type_RCR
gem_notation.stone_RD,pdp_stone.type_RDC
gem_notation.stone_RE,pdp_stone.type_TU
gem_notation.stone_RH,pdp_stone.type_RHO
gem_notation.stone_RO,pdp_stone.type_RDF
gem_notation.stone_RT,pdp_stone.type_RUT
gem_notation.stone_RU,pdp_stone.type_RU
gem_notation.stone_SA,pdp_stone.type_SA
gem_notation.stone_SB,pdp_stone.type_SB
gem_notation.stone_SE,pdp_stone.type_SPE
gem_notation.stone_SH,pdp_stone.type_SPH
gem_notation.stone_SI,pdp_stone.type_SPI
gem_notation.stone_SL,pdp_stone.type_SIL
gem_notation.stone_SM,pdp_stone.type_SMQ
gem_notation.stone_SP,pdp_stone.type_SK
gem_notation.stone_ST,pdp_stone.type_STS
gem_notation.stone_SU,pdp_stone.type_SUN
gem_notation.stone_SY,pdp_stone.type_SYN
gem_notation.stone_TA,pdp_stone.type_TAN
gem_notation.stone_TH,pdp_stone.type_THP
gem_notation.stone_TI,pdp_stone.type_TIG
gem_notation.stone_TO,pdp_stone.type_TOP
gem_notation.stone_TR,pdp_stone.type_TOU
gem_notation.stone_TS,pdp_stone.type_TSAV
gem_notation.stone_TU,pdp_stone.type_TURQ
gem_notation.stone_UV,pdp_stone.type_UV
gem_notation.stone_WH,pdp_stone.type_WT
gem_notation.stone_WI,pdp_stone.type_WQA
gem_notation.stone_WO,pdp_stone.type_WD
gem_notation.stone_ZI,pdp_stone.type_ZC
