id,margin_id,addon_id,rate
addon_0,EM+15,LAZ,2.288
addon_1,EM+70,LAZ,3.38
addon_2,EM+77,LAZ,3.52
addon_3,EM+90,LAZ,3.78
addon_4,EMA,LAZ,1.989
addon_5,EMA+7,LAZ,2.14
addon_6,N30,LAZ,1.69
addon_7,N35,LAZ,1.755
addon_8,NET,LAZ,1.3
addon_9,NET45,LAZ,1.846
addon_10,NR+10,LAZ,4.29
addon_11,NRET,LAZ,3.9
addon_12,ORET,LAZ,3.25
addon_13,UK,LAZ,3.9
addon_14,W10,LAZ,2.29
addon_15,W15,LAZ,2.39
addon_16,W20,LAZ,2.49
addon_17,W3,LAZ,2.15
addon_18,W30,LAZ,2.7
addon_19,W5,LAZ,2.184
addon_20,WHO,LAZ,2.08
addon_21,EM+15,PNT,2.0
addon_22,EM+70,PNT,12.75
addon_23,EM+77,PNT,13.26
addon_24,EM+90,PNT,14.25
addon_25,EMA,PNT,2.0
addon_26,EMA+7,PNT,2.14
addon_27,N30,PNT,3.9
addon_28,N35,PNT,4.05
addon_29,NET,PNT,3.0
addon_30,NET45,PNT,4.26
addon_31,NR+10,PNT,14.52
addon_32,NRET,PNT,13.2
addon_33,ORET,PNT,10.5
addon_34,UK,PNT,33.0
addon_35,W10,PNT,9.06
addon_36,W15,PNT,9.48
addon_37,W20,PNT,9.9
addon_38,W3,PNT,8.46
addon_39,W30,PNT,10.71
addon_40,W5,PNT,8.58
addon_41,WHO,PNT,8.25
addon_42,EM+15,PT2,2.0
addon_43,EM+70,PT2,12.75
addon_44,EM+77,PT2,13.26
addon_45,EM+90,PT2,14.25
addon_46,EMA,PT2,2.0
addon_47,EMA+7,PT2,2.14
addon_48,N30,PT2,3.9
addon_49,N35,PT2,4.05
addon_50,NET,PT2,3.0
addon_51,NET45,PT2,4.26
addon_52,NR+10,PT2,14.52
addon_53,NRET,PT2,13.2
addon_54,ORET,PT2,10.5
addon_55,UK,PT2,33.0
addon_56,W10,PT2,9.06
addon_57,W15,PT2,9.48
addon_58,W20,PT2,9.9
addon_59,W3,PT2,8.46
addon_60,W30,PT2,10.71
addon_61,W5,PT2,8.58
addon_62,WHO,PT2,8.25
addon_63,EM+15,SLD,2.288
addon_64,EM+70,SLD,3.38
addon_65,EM+77,SLD,3.52
addon_66,EM+90,SLD,3.78
addon_67,EMA,SLD,1.989
addon_68,EMA+7,SLD,2.14
addon_69,N30,SLD,1.69
addon_70,N35,SLD,1.755
addon_71,NET,SLD,1.3
addon_72,NET45,SLD,1.846
addon_73,NR+10,SLD,4.29
addon_74,NRET,SLD,3.9
addon_75,ORET,SLD,3.25
addon_76,UK,SLD,3.9
addon_77,W10,SLD,2.29
addon_78,W15,SLD,2.39
addon_79,W20,SLD,2.49
addon_80,W3,SLD,2.15
addon_81,W30,SLD,2.7
addon_82,W5,SLD,2.184
addon_83,WHO,SLD,2.08
