id,code,name,labor_metal_rate,labor_stone_rate
margin_0,EM+15,EMASUR+15,4.108,4.108
margin_1,EM+70,EMASUR+70,6.07,6.07
margin_2,EM+77,Ema+77,6.33,6.33
margin_3,EM+90,EMASUR + 90%,6.786,6.786
margin_4,EMA,Emasur,3.575,3.575
margin_5,EMA+7,EMASUR+7%,3.835,3.835
margin_6,N30,NET+30%,1.69,1.69
margin_7,N35,Net+35%,1.755,1.755
margin_8,NET,Net,1.3,1.3
margin_9,NET45,NET+45,1.846,1.846
margin_10,NR+10,NEW RETAIL + 10%,8.29,8.29
margin_11,NRET,New Retail,7.55,7.55
margin_12,ORET,Old Retail,6.29,6.29
margin_13,UK,UK,8.04,8.04
margin_14,W10,Wholesale10,4.59,4.59
margin_15,W15,Wholesale15,4.8,4.8
margin_16,W20,WHO+20%,5.0,5.0
margin_17,W3,Wholesale3,4.29,4.29
margin_18,W30,DEMARS,5.42,5.42
margin_19,W5,Wholesales 5,4.38,4.38
margin_20,WHO,Wholesale,4.17,4.17
