id,margin_id,metal_purity_id,rate
metal_0,EM+15,10K,1.4
metal_1,EM+15,14K,1.38
metal_2,EM+15,18K,1.36
metal_3,EM+15,22K,1.33
metal_4,EM+15,24K,1.31
metal_5,EM+15,925,1.59
metal_6,EM+15,955,1.84
metal_7,EM+15,9K,1.41
metal_8,EM+15,ALL,1.265
metal_9,EM+15,B,2.3
metal_10,EM+70,10K,2.07
metal_11,EM+70,14K,2.04
metal_12,EM+70,18K,2.01
metal_13,EM+70,22K,1.97
metal_14,EM+70,24K,1.94
metal_15,EM+70,925,2.35
metal_16,EM+70,955,4.6
metal_17,EM+70,9K,2.09
metal_18,EM+70,ALL,1.87
metal_19,EM+70,B,3.4
metal_20,EM+77,10K,2.16
metal_21,EM+77,14K,2.12
metal_22,EM+77,18K,2.09
metal_23,EM+77,22K,2.05
metal_24,EM+77,24K,2.02
metal_25,EM+77,925,2.44
metal_26,EM+77,955,4.78
metal_27,EM+77,9K,2.18
metal_28,EM+77,ALL,1.947
metal_29,EM+77,B,3.54
metal_30,EM+90,10K,2.32
metal_31,EM+90,14K,2.28
metal_32,EM+90,18K,2.24
metal_33,EM+90,22K,2.2
metal_34,EM+90,24K,2.17
metal_35,EM+90,925,2.62
metal_36,EM+90,955,5.13
metal_37,EM+90,9K,2.34
metal_38,EM+90,ALL,2.09
metal_39,EM+90,B,3.8
metal_40,EMA,10K,1.24
metal_41,EMA,14K,1.2
metal_42,EMA,18K,1.18
metal_43,EMA,22K,1.156
metal_44,EMA,24K,1.14
metal_45,EMA,925,1.38
metal_46,EMA,955,1.6
metal_47,EMA,9K,1.25
metal_48,EMA,ALL,1.18
metal_49,EMA,B,2.0
metal_50,EMA,ALL,1.2
metal_51,EMA,ALL,1.2
metal_52,EMA+7,10K,1.33
metal_53,EMA+7,14K,1.29
metal_54,EMA+7,18K,1.27
metal_55,EMA+7,22K,1.23
metal_56,EMA+7,24K,1.22
metal_57,EMA+7,925,1.48
metal_58,EMA+7,955,1.71
metal_59,EMA+7,9K,1.34
metal_60,N30,ALL,1.3
metal_61,N35,10K,1.35
metal_62,N35,14K,1.35
metal_63,N35,18K,1.35
metal_64,N35,22K,1.35
metal_65,N35,24K,1.35
metal_66,N35,925,1.35
metal_67,N35,955,1.35
metal_68,N35,9K,1.35
metal_69,N35,ALL,1.35
metal_70,N35,B,1.35
metal_71,NET,ALL,1.0
metal_72,NET45,ALL,1.42
metal_73,NR+10,10K,1.69
metal_74,NR+10,14K,1.68
metal_75,NR+10,18K,1.66
metal_76,NR+10,22K,1.64
metal_77,NR+10,24K,1.62
metal_78,NR+10,925,4.4
metal_79,NR+10,955,2.24
metal_80,NR+10,9K,1.71
metal_81,NR+10,ALL,1.666
metal_82,NR+10,B,5.5
metal_83,NRET,10K,1.54
metal_84,NRET,14K,1.53
metal_85,NRET,18K,1.51
metal_86,NRET,22K,1.49
metal_87,NRET,24K,1.47
metal_88,NRET,925,4.0
metal_89,NRET,955,2.04
metal_90,NRET,9K,1.55
metal_91,NRET,ALL,1.5147
metal_92,NRET,B,5.0
metal_93,NRET,ALL,1.35
metal_94,NRET,ALL,1.35
metal_95,ORET,10K,1.46
metal_96,ORET,14K,1.45
metal_97,ORET,18K,1.42
metal_98,ORET,22K,1.42
metal_99,ORET,24K,1.4
metal_100,ORET,925,3.8
metal_101,ORET,955,1.92
