id,margin_id,stone_cat_id,operator,comparative_cost,currency_id,rate
conditional_0,EM+15,D,>,2000.0,USD,1.323
conditional_1,EM+15,H,>,50.0,USD,1.76
conditional_2,EM+15,P,>,2000.0,USD,1.38
conditional_3,EM+15,S,>,30.0,USD,1.62
conditional_4,EM+70,D,>,2000.0,USD,1.95
conditional_5,EM+70,H,>,50.0,USD,2.6
conditional_6,EM+70,P,>,2000.0,USD,2.04
conditional_7,EM+70,S,>,30.0,USD,2.4
conditional_8,EM+77,D,>,2000.0,USD,2.04
conditional_9,EM+77,H,>,50.0,USD,2.71
conditional_10,EM+77,P,>,2000.0,USD,2.12
conditional_11,EM+77,S,>,30.0,USD,2.5
conditional_12,EM+90,D,>,2000.0,USD,2.18
conditional_13,EM+90,H,>,50.0,USD,2.9
conditional_14,EM+90,P,>,2000.0,USD,2.28
conditional_15,EM+90,S,>,30.0,USD,2.68
conditional_16,EMA,D,>,2000.0,USD,1.15
conditional_17,EMA,H,>,50.0,USD,1.53
conditional_18,EMA,P,>,2000.0,USD,1.2
conditional_19,EMA,S,>,30.0,USD,1.41
conditional_20,EMA+7,D,>,2000.0,USD,1.23
conditional_21,EMA+7,H,>,50.0,USD,1.64
conditional_22,EMA+7,P,>,2000.0,USD,1.29
conditional_23,EMA+7,S,>,30.0,USD,1.51
conditional_24,NR+10,D,>,2000.0,USD,1.375
conditional_25,NR+10,H,>,30.0,USD,2.75
conditional_26,NR+10,P,>,2000.0,USD,1.65
conditional_27,NR+10,S,>,30.0,USD,2.2
conditional_28,NRET,D,>,2000.0,USD,1.25
conditional_29,NRET,H,>,30.0,USD,2.5
conditional_30,NRET,P,>,2000.0,USD,1.5
conditional_31,NRET,S,>,30.0,USD,2.0
conditional_32,ORET,D,>,2000.0,USD,1.2
conditional_33,ORET,H,>,30.0,USD,2.08
conditional_34,ORET,P,>,2000.0,USD,1.4
conditional_35,ORET,S,>,30.0,USD,1.65
conditional_36,UK,D,>,2000.0,USD,2.2
conditional_37,UK,H,>,30.0,USD,3.3
conditional_38,UK,P,>,2000.0,USD,2.5
conditional_39,UK,S,>,30.0,USD,3.04
conditional_40,W10,D,>,2000.0,USD,1.17
conditional_41,W10,H,>,30.0,USD,1.85
conditional_42,W10,P,>,2000.0,USD,1.28
conditional_43,W10,S,>,30.0,USD,1.65
conditional_44,W15,D,>,2000.0,USD,1.18
conditional_45,W15,H,>,30.0,USD,1.93
conditional_46,W15,P,>,2000.0,USD,1.32
conditional_47,W15,S,>,30.0,USD,1.73
conditional_48,W20,D,>,2000.0,USD,1.19
conditional_49,W20,H,>,30.0,USD,2.12
conditional_50,W20,P,>,2000.0,USD,1.37
conditional_51,W20,S,>,30.0,USD,1.89
conditional_52,W3,D,>,1499.0,USD,1.155
conditional_53,W3,H,>,30.0,USD,1.73
conditional_54,W3,P,>,2000.0,USD,1.22
conditional_55,W3,S,>,30.0,USD,1.54
conditional_56,W30,D,>,2000.0,USD,1.2
conditional_57,W30,H,>,30.0,USD,2.18
conditional_58,W30,P,>,2000.0,USD,1.45
conditional_59,W30,S,>,30.0,USD,1.95
conditional_60,W5,D,>,2000.0,USD,1.16
conditional_61,W5,H,>,30.0,USD,1.76
conditional_62,W5,P,>,2000.0,USD,1.24
conditional_63,W5,S,>,30.0,USD,1.575
conditional_64,WHO,D,>,2000.0,USD,1.15
conditional_65,WHO,H,>,30.0,USD,1.68
conditional_66,WHO,P,>,2000.0,USD,1.2
conditional_67,WHO,S,>,30.0,USD,1.5
