id,margin_id,stone_type_id,stone_shape_id,stone_size_id,stone_shade_id,rate
stone_0,EM+15,ABA,,,,2.0
stone_1,EM+15,AGA,,,,2.11
stone_2,EM+15,AK1,,,,2.0
stone_3,EM+15,AK2,,,,2.0
stone_4,EM+15,ALX,,,,2.11
stone_5,EM+15,AME,,,,2.11
stone_6,EM+15,AMZ,,,,2.11
stone_7,EM+15,AP,,,,2.11
stone_8,EM+15,AQ,,,,2.11
stone_9,EM+15,AVT,,,,2.11
stone_10,EM+15,BAG,,,,2.11
stone_11,EM+15,BDI,,,,2.11
stone_12,EM+15,BKTOU,,,,2.11
stone_13,EM+15,BON,,,,2.11
stone_14,EM+15,BRL,,,,2.11
stone_15,EM+15,BRZ,,,,2.11
stone_16,EM+15,BT,,,,2.11
stone_17,EM+15,BTOUR,,,,2.11
stone_18,EM+15,BUT,,,,2.0
stone_19,EM+15,BZ,,,,1.77
stone_20,EM+15,CAC,,,,2.11
stone_21,EM+15,CAM,,,,2.11
stone_22,EM+15,CAR,,,,2.11
stone_23,EM+15,CCT,,,,2.65
stone_24,EM+15,CHA,,,,2.11
stone_25,EM+15,CHP,,,,2.11
stone_26,EM+15,CHR,,,,2.11
stone_27,EM+15,CHRP,,,,2.11
stone_28,EM+15,CIT,,,,2.11
stone_29,EM+15,COG,,,,2.11
stone_30,EM+15,CORAL,,,,2.64
stone_31,EM+15,CRY,,,,2.11
stone_32,EM+15,CUB,,,,2.11
stone_33,EM+15,DIO,,,,2.11
stone_34,EM+15,DRE,,,,2.11
stone_35,EM+15,DTS,,0.6,,1.4
stone_36,EM+15,DTS,,0.7,,1.4
stone_37,EM+15,DTS,,0.8,,1.38
stone_38,EM+15,DTS,,0.9,,1.38
stone_39,EM+15,DTS,,1.0,,1.36
stone_40,EM+15,DTS,,1.1,,1.36
stone_41,EM+15,DTS,,1.2,,1.36
stone_42,EM+15,DTS,,1.3,,1.36
stone_43,EM+15,DTS,,1.4,,1.33
stone_44,EM+15,DTS,,1.5,,1.33
stone_45,EM+15,DTS,,1.6,,1.33
stone_46,EM+15,DTS,,1.7,,1.33
stone_47,EM+15,DTS,,1.8,,1.31
stone_48,EM+15,DTS,,1.9,,1.31
stone_49,EM+15,DTS,,10.0,,1.27
stone_50,EM+15,DTS,,2.0,,1.31
stone_51,EM+15,DTS,,2.1,,1.31
stone_52,EM+15,DTS,,2.2,,1.31
stone_53,EM+15,DTS,,2.3,,1.31
stone_54,EM+15,DTS,,2.4,,1.31
stone_55,EM+15,DTS,,2.5,,1.31
stone_56,EM+15,DTS,,2.6,,1.31
stone_57,EM+15,DTS,,2.7,,1.29
stone_58,EM+15,DTS,,2.8,,1.29
stone_59,EM+15,DTS,,2.9,,1.29
stone_60,EM+15,DTS,,3.0,,1.29
stone_61,EM+15,DTS,,3.1,,1.29
stone_62,EM+15,DTS,,3.2,,1.29
stone_63,EM+15,DTS,,3.3,,1.29
stone_64,EM+15,DTS,,3.4,,1.27
stone_65,EM+15,DTS,,3.5,,1.27
stone_66,EM+15,DTS,,3.6,,1.27
stone_67,EM+15,DTS,,3.7,,1.27
stone_68,EM+15,DTS,,3.8,,1.27
stone_69,EM+15,DTS,,3.9,,1.27
stone_70,EM+15,DTS,,4.0,,1.27
stone_71,EM+15,DTS,,4.1,,1.27
stone_72,EM+15,DTS,,4.2,,1.27
stone_73,EM+15,DTS,,4.3,,1.27
stone_74,EM+15,DTS,,4.4,,1.27
stone_75,EM+15,DTS,,4.5,,1.27
stone_76,EM+15,DTS,,4.6,,1.27
stone_77,EM+15,DTS,,4.7,,1.27
stone_78,EM+15,DTS,,4.8,,1.27
stone_79,EM+15,DTS,,4.9,,1.27
stone_80,EM+15,DTS,,5.0,,1.27
stone_81,EM+15,DTS,,5.1,,1.27
stone_82,EM+15,DTS,,5.2,,1.27
stone_83,EM+15,DTS,,5.3,,1.27
stone_84,EM+15,DTS,,5.4,,1.27
stone_85,EM+15,DTS,,5.5,,1.27
stone_86,EM+15,DTS,,5.6,,1.27
stone_87,EM+15,DTS,,5.7,,1.27
stone_88,EM+15,DTS,,5.75,,1.27
stone_89,EM+15,DTS,,5.8,,1.27
stone_90,EM+15,DTS,,5.9,,1.27
stone_91,EM+15,DTS,,6.0,,1.27
