id,code,name,waste
category_B,B,Bangle,5.0
category_BA,BA,Bracelet,5.0
category_BO,BO,Earrings Top,5.0
category_BR,BR,Brooch,5.0
category_BT,BT,Button,5.0
category_CA,CA,Carole Guez,5.0
category_CF,CF,Cufflink,5.0
category_CL,CL,Clasp,5.0
category_DI,DI,Diademe,5.0
category_E,E,Earring,5.0
category_EB,EB,Earrings Bottom,5.0
category_GB,GB,Gold B+Ba,5.0
category_GE,GE,Gold Earrinjg,5.0
category_GR,GR,Gold Ring,5.0
category_HP,HP,Hair Pins,5.0
category_IT,IT,Ile de la Tortue,5.0
category_KH,KH,Key Holder,5.0
category_N,N,Necklace,5.0
category_NP,NP,Chain,5.0
category_P,P,Pendant,5.0
category_PB,PB,Pendant Buttom,5.0
category_PF,PF,Patrice Fabre,5.0
category_PP,PP,Pioneer,5.0
category_QB,QB,New Bracelet+Bangle+Brooc,5.0
category_QC,QC,New Cufflink,5.0
category_QE,QE,New Earring,5.0
category_QN,QN,New Necklace,5.0
category_QP,QP,New  Pendant,5.0
category_QR,QR,New Ring,5.0
category_QU,QU,Quotation,5.0
category_R,R,Ring,5.0
category_S,S,Special,7.0
category_SA,SA,Sabina,5.0
category_SL,SL,Slide,5.0
category_SP,SP,Spare Part,5.0
category_TB,TB,Taburiaux,7.0
category_TP,TP,Tie Pins,7.0
