id,code,type_id,shape_id,shade_id,size_id,cost,currency_id
stone_ABA_OV_7X5,ABA-OV-7X5,ABA,OV,1,7X5,1.0,USD
stone_AGAWH_1_A69S,AGAWH-A69S,AGA,1,WH,A69S,2.0,USD
stone_AGA_A120_MIS,AGA-A120-MIS,AGA,A120,1,MIS,1.0,USD
stone_AGABL_A120_12_0,AGABL-A120-12.0,AGA,A120,BL,12.0,1.0,USD
stone_AGAGR_A120_MIS,AGAGR-A120-MIS,AGA,A120,GR,MIS,1.0,USD
stone_AGAWH_A120_12_0,AGAWH-A120-12.0,AGA,A120,WH,12.0,20.0,USD
stone_AGAOR_A122_10_0,AGAOR-A122-10.0,AGA,A122,OR,10.0,9.0,USD
stone_AGAOR_A123_12_0,AGAOR-A123-12.0,AGA,A123,OR,12.0,1.2,USD
stone_AGAOR_A124_14_0,AGAOR-A124-14.0,AGA,A124,OR,14.0,1.2,USD
stone_AGA_A129_16_0,AGA-A129-16.0,AGA,A129,1,16.0,1.5,USD
stone_AGABL_A129_16_0,AGABL-A129-16.0,AGA,A129,BL,16.0,1.5,USD
stone_AGA_A13_MIS,AGA-A13-MIS,AGA,A13,1,MIS,2.0,USD
stone_AGA_A177_MIS,AGA-A177-MIS,AGA,A177,1,MIS,3.0,USD
stone_AGA_A185_MIS,AGA-A185-MIS,AGA,A185,1,MIS,1.0,USD
stone_AGABL_A185_MIS,AGABL-A185-MIS,AGA,A185,BL,MIS,1.2,USD
stone_AGA_A315_MIS,AGA-A315-MIS,AGA,A315,1,MIS,3.0,USD
stone_AGABL_A315_MIS,AGABL-A315-MIS,AGA,A315,BL,MIS,3.0,USD
stone_AGA_A390_MIS,AGA-A390-MIS,AGA,A390,1,MIS,1.5,USD
stone_AGAWH_A69S_A69S,AGAWH-A69S-A69S,AGA,A69S,WH,A69S,2.0,USD
stone_AGAOR_A72_19X9,AGAOR-A72-19X9,AGA,A72,OR,19X9,40.0,USD
stone_AGAWH_A72_19x7,AGAWH-A72-19X7,AGA,A72,WH,19X7,2.0,USD
stone_AGAWH_BAL_12_0,AGAWH-BAL-12.0,AGA,BAL,WH,12.0,50.0,USD
stone_AGAWH_CUBUF_10X10,AGAWH-CUBUF-10X10,AGA,CUBUF,WH,10X10,25.0,USD
stone_AGAWH_CUBUF_12X12,AGAWH-CUBUF-12X12,AGA,CUBUF,WH,12X12,28.0,USD
stone_AGAWH_CUBUF_6X6,AGAWH-CUBUF-6X6,AGA,CUBUF,WH,6X6,20.0,USD
stone_AGAWH_CUBUF_8X8,AGAWH-CUBUF-8X8,AGA,CUBUF,WH,8X8,25.0,USD
stone_AGAGR_CUCAB_10X8,AGAGR-CUCAB-10X8,AGA,CUCAB,GR,10X8,4.6,USD
stone_AGAGR_CUCAB_9_2X7_2,AGAGR-CUCAB-9.2X7.2,AGA,CUCAB,GR,9.2X7.2,3.0,USD
stone_AGARED_CUCAB_9_2X7_2,AGARED-CUCAB-9.2X7.2,AGA,CUCAB,RED,9.2X7.2,6.0,USD
stone_AGAWH_CUCAB_14X12,AGAWH-CUCAB-14X12,AGA,CUCAB,WH,14X12,0.0,USD
stone_AGAYL_CUCAB_10X8,AGAYL-CUCAB-10X8,AGA,CUCAB,YL,10X8,7.8,USD
stone_AGAYL_CUCAB_9_2X7_2,AGAYL-CUCAB-9.2X7.2,AGA,CUCAB,YL,9.2X7.2,5.0,USD
stone_AGAWH_CUS_10X10,AGAWH-CUS-10X10,AGA,CUS,WH,10X10,22.0,USD
stone_AGAWH_CUS_12X12,AGAWH-CUS-12X12,AGA,CUS,WH,12X12,30.0,USD
stone_AGAWH_CUS_15X15,AGAWH-CUS-15X15,AGA,CUS,WH,15X15,55.0,USD
stone_AGAOR_CUV_12_0,AGAOR-CUV-12.0,AGA,CUV,OR,12.0,15.7,USD
stone_AGAWH_DBR_A69S,AGAWH-DBR-A69S,AGA,DBR,WH,A69S,33.0,USD
stone_AGAWH_DCR_11_6,AGAWH-DCR-11/6,AGA,DCR,WH,11/6,27.0,USD
stone_AGAWH_DCR_8_0,AGAWH-DCR-8.0,AGA,DCR,WH,8.0,20.0,USD
stone_AGARED_DFB_27X18_6,AGARED-DFB-27X18/6,AGA,DFB,RED,27X18/6,15.0,USD
stone_AGAWH_DFS_13X12,AGAWH-DFS-13X12,AGA,DFS,WH,13X12,27.0,USD
stone_AGAWH_DFS_15X13,AGAWH-DFS-15X13,AGA,DFS,WH,15X13,32.0,USD
stone_AGAWH_DFS_44X25,AGAWH-DFS-44X25,AGA,DFS,WH,44X25,100.0,USD
stone_AGAGR_DKF_25x18,AGAGR-DKF-25X18,AGA,DKF,GR,25X18,10.0,USD
stone_AGAGR_DKF_43X21_10,AGAGR-DKF-43X21/10,AGA,DKF,GR,43X21/10,20.0,USD
stone_AGAWH_DKF_10_0,AGAWH-DKF-10.0,AGA,DKF,WH,10.0,8.5,USD
stone_AGAWH_DKF_6_0,AGAWH-DKF-6.0,AGA,DKF,WH,6.0,6.5,USD
stone_AGAOR_DN_11_0,AGAOR-DN-11.0,AGA,DN,OR,11.0,1.1,USD
stone_AGAOR_DN_13_0,AGAOR-DN-13.0,AGA,DN,OR,13.0,1.2,USD
stone_AGAWH_DN_10_0,AGAWH-DN-10.0,AGA,DN,WH,10.0,4.0,USD
stone_AGA_DP_All,AGA-DP-ALL,AGA,DP,1,ALL,2.0,USD
stone_AGAOR_DRP_30X19X13,AGAOR-DRP-30X19X13,AGA,DRP,OR,30X19X13,115.0,USD
stone_AGAWH_DRP_13X13,AGAWH-DRP-13X13,AGA,DRP,WH,13X13,15.0,USD
stone_AGAWH_DRP_19X9,AGAWH-DRP-19X9,AGA,DRP,WH,19X9,13.0,USD
stone_AGAWH_DRP_A69S,AGAWH-DRP-A69S,AGA,DRP,WH,A69S,24.0,USD
stone_AGAGR_HS_6_0,AGAGR-HS-6.0,AGA,HS,GR,6.0,0.3,USD
stone_AGAGR_HS_6X6,AGAGR-HS-6X6,AGA,HS,GR,6X6,0.3,USD
stone_AGAGR_KIT_42X24_11,AGAGR-KIT-42X24/11,AGA,KIT,GR,42X24/11,25.0,USD
stone_AGAOR_KIT_16_5X12_5,AGAOR-KIT-16.5X12.5,AGA,KIT,OR,16.5X12.5,25.0,USD
stone_AGAWH_LK_16x15,AGAWH-LK-16X15,AGA,LK,WH,16X15,4.0,USD
stone_AGAGR_MQ_40X20_10,AGAGR-MQ-40X20/10,AGA,MQ,GR,40X20/10,12.0,USD
stone_AGAWH_OCT_20X15,AGAWH-OCT-20X15,AGA,OCT,WH,20X15,26.0,USD
stone_AGAGR_OVCAB_6X4,AGAGR-OVCAB-6X4,AGA,OVCAB,GR,6X4,0.75,USD
stone_AGAGR_OVCAB_7X5,AGAGR-OVCAB-7X5,AGA,OVCAB,GR,7X5,1.3,USD
stone_AGAWH_OVCAB_10X8,AGAWH-OVCAB-10X8,AGA,OVCAB,WH,10X8,2.0,USD
stone_AGAWH_OVCAB_12X10,AGAWH-OVCAB-12X10,AGA,OVCAB,WH,12X10,8.0,USD
stone_AGAWH_OVCAB_14X12,AGAWH-OVCAB-14X12,AGA,OVCAB,WH,14X12,12.0,USD
stone_AGAWH_OVCAB_15X11,AGAWH-OVCAB-15X11,AGA,OVCAB,WH,15X11,14.0,USD
stone_AGAWH_OVCAB_18X13,AGAWH-OVCAB-18X13,AGA,OVCAB,WH,18X13,22.0,USD
stone_AGAOR_PSCAB_15X10,AGAOR-PSCAB-15X10,AGA,PSCAB,OR,15X10,30.0,USD
stone_AGAOR_PSCAB_MIS,AGAOR-PSCAB-MIS,AGA,PSCAB,OR,MIS,90.0,USD
stone_AGA_RD_4_4_5,AGA-RD-4-4.5,AGA,RD,1,4-4.5,0.15,USD
stone_AGA_RD_All,AGA-RD-ALL,AGA,RD,1,ALL,1.6,USD
stone_AGAWH_RD_4_0,AGAWH-RD-4.0,AGA,RD,WH,4.0,0.0,USD
stone_AGAWH_RD_6_0,AGAWH-RD-6.0,AGA,RD,WH,6.0,1.2,USD
stone_AGAWH_RD_9_0,AGAWH-RD-9.0,AGA,RD,WH,9.0,4.2,USD
stone_AGAGR_RDCAB_10_0,AGAGR-RDCAB-10.0,AGA,RDCAB,GR,10.0,4.0,USD
stone_AGAGR_RDCAB_3_2,AGAGR-RDCAB-3.2,AGA,RDCAB,GR,3.2,0.85,USD
stone_AGAWH_RDCAB_16_0,AGAWH-RDCAB-16.0,AGA,RDCAB,WH,16.0,18.0,USD
stone_AGAWH_RDCAB_22_0,AGAWH-RDCAB-22.0,AGA,RDCAB,WH,22.0,38.0,USD
stone_AGAWH_RDCAB_30_0,AGAWH-RDCAB-30.0,AGA,RDCAB,WH,30.0,83.0,USD
stone_AGAWH_TR_12_0,AGAWH-TR-12.0,AGA,TR,WH,12.0,5.6,USD
stone_AK1_RD_10_11,AK1-RD-10-11,AK1,RD,1,10-11,225.0,USD
stone_AK1_RD_2_2_5,AK1-RD-2-2.5,AK1,RD,1,2-2.5,1.5,USD
stone_AK1_RD_2_5_3,AK1-RD-2.5-3,AK1,RD,1,2.5-3,2.0,USD
stone_AK1_RD_3_3_5,AK1-RD-3-3.5,AK1,RD,1,3-3.5,1.0,USD
stone_AK1_RD_3_5_4,AK1-RD-3.5-4,AK1,RD,1,3.5-4,1.0,USD
stone_AK1_RD_4_4_5,AK1-RD-4-4.5,AK1,RD,1,4-4.5,1.0,USD
stone_AK1_RD_4_5_5,AK1-RD-4.5-5,AK1,RD,1,4.5-5,2.0,USD
stone_AK1_RD_5_5_5,AK1-RD-5-5.5,AK1,RD,1,5-5.5,3.0,USD
stone_AK1_RD_5_5_6,AK1-RD-5.5-6,AK1,RD,1,5.5-6,4.0,USD
stone_AK1_RD_6_6_5,AK1-RD-6-6.5,AK1,RD,1,6-6.5,6.0,USD
stone_AK1_RD_6_5_7,AK1-RD-6.5-7,AK1,RD,1,6.5-7,8.0,USD
stone_AK1_RD_7_7_5,AK1-RD-7-7.5,AK1,RD,1,7-7.5,10.0,USD
stone_AK1_RD_7_5_8,AK1-RD-7.5-8,AK1,RD,1,7.5-8,11.0,USD
stone_AK1_RD_8_8_5,AK1-RD-8-8.5,AK1,RD,1,8-8.5,17.0,USD
stone_AK1_RD_8_5_9,AK1-RD-8.5-9,AK1,RD,1,8.5-9,20.0,USD
stone_AK1_RD_9_9_5,AK1-RD-9-9.5,AK1,RD,1,9-9.5,35.0,USD
stone_AK1BK_RD_8_5_9,AK1BK-RD-8.5-9,AK1,RD,BK,8.5-9,20.0,USD
stone_AK1BK_RD_9_9_5,AK1BK-RD-9-9.5,AK1,RD,BK,9-9.5,35.0,USD
stone_AK1WH_RD_4_4_5,AK1WH-RD-4-4.5,AK1,RD,WH,4-4.5,5.0,USD
stone_AK1WH_RD_4_5_5,AK1WH-RD-4.5-5,AK1,RD,WH,4.5-5,5.0,USD
stone_AK1WH_RD_8_5_9,AK1WH-RD-8.5-9,AK1,RD,WH,8.5-9,45.0,USD
stone_AK1WH_RD_9_9_5,AK1WH-RD-9-9.5,AK1,RD,WH,9-9.5,70.0,USD
stone_AK2_RD_2_5_3,AK2-RD-2.5-3,AK2,RD,1,2.5-3,0.0,USD
stone_AK2_RD_3_3_5,AK2-RD-3-3.5,AK2,RD,1,3-3.5,0.0,USD
stone_AK2_RD_3_5_4,AK2-RD-3.5-4,AK2,RD,1,3.5-4,0.0,USD
stone_AK2_RD_4_4_5,AK2-RD-4-4.5,AK2,RD,1,4-4.5,0.0,USD
stone_AK2_RD_4_5_5,AK2-RD-4.5-5,AK2,RD,1,4.5-5,0.0,USD
stone_AK2_RD_5_5_5,AK2-RD-5-5.5,AK2,RD,1,5-5.5,0.0,USD
stone_AK2_RD_5_5_6,AK2-RD-5.5-6,AK2,RD,1,5.5-6,0.0,USD
stone_AK2_RD_6_6_5,AK2-RD-6-6.5,AK2,RD,1,6-6.5,0.0,USD
stone_AK2_RD_6_5_7,AK2-RD-6.5-7,AK2,RD,1,6.5-7,0.0,USD
stone_AK2_RD_7_7_5,AK2-RD-7-7.5,AK2,RD,1,7-7.5,0.0,USD
stone_AK2_RD_7_5_8,AK2-RD-7.5-8,AK2,RD,1,7.5-8,0.0,USD
stone_AK2_RD_8_5_9,AK2-RD-8.5-9,AK2,RD,1,8.5-9,0.0,USD
stone_ALX_OCT_6X4,ALX-OCT-6X4,ALX,OCT,1,6X4,2.0,USD
