id,code,shape
shape_A118,A118,A118
shape_A120,A120,A120
shape_A122,A122,A122
shape_A123,A123,A123
shape_A124,A124,A124
shape_A129,A129,A129
shape_A13,A13,A13
shape_A14,A14,A14
shape_A145,A145,A145
shape_A177,A177,A177
shape_A184,A184,A184
shape_A185,A185,A185
shape_A187,A187,A187
shape_A315,A315,A315
shape_A390,A390,A390
shape_A45,A45,A45
shape_A653,A653,A653
shape_A69S,A69S,A69S
shape_A71,A71,A71
shape_A72,A72,A72
shape_A73,A73,A73
shape_BAF,BAF,Ball Facetted
shape_BAGF,BAGF,Bag Fancy
shape_BAL,BAL,Ball
shape_BAR,BAR,BARRE
shape_BEA,BEA,Bead Smooth
shape_BEAD,BEAD,Bead Facet
shape_BG,BG,Bagguete
shape_BGBR,BGBR,Bagguete Bri
shape_BGBT,BGBT,Bagguet bufftop
shape_BGCAB,BGCAB,Cabochon Bg
shape_BQ,BQ,Baroque
shape_BR_RD,BR RD,Brio Rd
shape_BRD,BRD,Button Round
shape_BUFTO,BUFTO,Buf Top
shape_BUL,BUL,Bullet
shape_BUT,BUT,Button
shape_CCBRI,CCBRI,Cabochon Cus Bri
shape_CHM,CHM,Cabochon Half Moon
shape_CIR,CIR,CIR
shape_CONCA,CONCA,Concave
shape_COTCC,COTCC,Octagon Concave
shape_CUBRI,CUBRI,Cushion Briolette
shape_CUBUF,CUBUF,Cushion Bufftop
shape_CUCAB,CUCAB,Cabochon Cushion
shape_CUS,CUS,Cushion
shape_CUV,CUV,Curve
shape_DBC,DBC,Double Briolette Cus
shape_DBCF,DBCF,Double Cushion Facet
shape_DBO,DBO,Double Briolette Ov
shape_DBP,DBP,Drop Barok Pearl
shape_DBR,DBR,Drop Briolet
shape_DCC,DCC,Double Cab Cushion
shape_DCD,DCD,Double Cab Diamond
shape_DCDP,DCDP,Double Cab Drop
shape_DCMQ,DCMQ,Double Cab Marquise
shape_DCO,DCO,Double Cab Oval
shape_DCPS,DCPS,Double Cab Pear
shape_DCR,DCR,Double Cab Round
shape_DFB,DFB,Double Flat Bri
shape_DFOV,DFOV,Double Facet Oval
shape_DFPS,DFPS,Double Facet Ps
shape_DFS,DFS,Double Flat Smooth
shape_DKF,DKF,Disk Flat
shape_DKS,DKS,Disk Smooth
shape_DN,DN,Donut
shape_DNOV,DNOV,Donut Oval
shape_DOB,DOB,Double Facet
shape_DP,DP,Drop for Pearl
shape_DRF,DRF,Drop Speacial
shape_DRL,DRL,Drop Long
shape_DRP,DRP,Drop Polished
shape_DRS,DRS,Drop Small
shape_DSK,DSK,Disk
shape_FAN,FAN,Fan
shape_FCU,FCU,Flat Cushion
shape_FKT,FKT,Flat Kite
shape_FMQ,FMQ,Flat Marquise
shape_FOV,FOV,Flat Oval
shape_FPS,FPS,Flat Pear Shape
shape_FRB,FRB,French Baguette
shape_FRD,FRD,Flat Round
shape_FRP,FRP,Franch Pear Shape
shape_FRS,FRS,French square
shape_FRT,FRT,French Tapper
shape_FSQ,FSQ,Flat Square
shape_FTBG,FTBG,Flat Baguette
shape_FTP,FTP,Flat Taper
shape_FTR,FTR,Flat Trillion
