id,weight,type_id,shape_id,shade_id,size_id
weight_0,0.6,ABA,OV,1,7X5
weight_1,1.75,AGA,A120,1,12.0
weight_2,2.1,AGA,A120,1,MIS
weight_3,2.0,AGA,A122,1,10.0
weight_4,3.2,AGA,A123,OR,12.0
weight_5,3.98,AGA,A124,1,14.0
weight_6,4.37,AGA,A124,1,MIS
weight_7,4.8,AGA,A129,1,16.0
weight_8,3.7,AGA,A129,1,MIS
weight_9,5.0,AGA,A13,1,MIS
weight_10,13.6,AGA,A145,1,MIS
weight_11,9.8,AGA,A177,1,MIS
weight_12,2.65,AGA,A185,1,MIS
weight_13,9.8,AGA,A187,1,MIS
weight_14,9.3,AGA,A315,1,MIS
weight_15,10.0,AGA,A69S,1,A69S
weight_16,7.0,AGA,A72,1,19X7
weight_17,10.1,AGA,A72,1,19X9
weight_18,12.0,AGA,BAL,1,12.0
weight_19,5.53,AGA,BAL,1,9.0
weight_20,3.5,AGA,CUBUF,1,10X10
weight_21,7.0,AGA,CUBUF,1,12X12
weight_22,3.5,AGA,CUCAB,1,10X8
weight_23,2.75,AGA,CUCAB,1,9.2X7.2
weight_24,3.5,AGA,CUS,1,10X10
weight_25,7.0,AGA,CUS,1,12X12
weight_26,13.5,AGA,CUS,1,15X15
weight_27,6.0,AGA,CUV,1,12.0
weight_28,10.0,AGA,DBR,1,A69S
weight_29,5.2,AGA,DCR,1,11/6
weight_30,2.4,AGA,DCR,1,8.0
weight_31,17.6,AGA,DFB,1,27X18/6
weight_32,6.02,AGA,DFS,1,13X12
weight_33,9.09,AGA,DFS,1,15X13
weight_34,75.0,AGA,DFS,1,44X25
weight_35,2.4,AGA,DKF,1,10.0
weight_36,2.5,AGA,DKF,1,25X18
weight_37,2.5,AGA,DKF,1,43X21/10
weight_38,0.51,AGA,DKF,1,6.0
weight_39,1.45,AGA,DN,1,10.0
weight_40,2.3,AGA,DN,1,11.0
weight_41,3.05,AGA,DN,1,13.0
weight_42,10.15,AGA,DRP,1,13X13
weight_43,7.2,AGA,DRP,1,19X9
weight_44,10.0,AGA,DRP,1,A69S
weight_45,6.5,AGA,KIT,1,16.5X12.5
weight_46,1.5,AGA,KIT,1,42X24/11
weight_47,6.75,AGA,LK,1,16X15
weight_48,5.37,AGA,MIS,1,12X10
weight_49,3.75,AGA,MQ,1,40X20/10
weight_50,20.0,AGA,OCT,1,20X15
weight_51,9.0,AGA,OVCAB,1,15X11
weight_52,0.6,AGA,OVCAB,1,6X4
weight_53,1.15,AGA,OVCAB,1,7X5
weight_54,6.0,AGA,PSCAB,1,15X10
weight_55,67.5,AGA,RD,1,30.0
weight_56,0.24,AGA,RD,1,4-4.5
weight_58,0.83,AGA,RD,WH,6.0
