id,rubicon_shape_id:id,shape_id:id,cut_id:id
map_shape_BAF,pdp_stone.shape_BAF,shape_BEAD,cut_FACE
map_shape_BAGF,pdp_stone.shape_BAGF,shape_BAG,
map_shape_BAL,pdp_stone.shape_BAL,shape_BEAD,
map_shape_BEA,pdp_stone.shape_BEA,shape_BEAD,cut_SMOO
map_shape_BEAD,pdp_stone.shape_BEAD,shape_BEAD,cut_FACE
map_shape_BG,pdp_stone.shape_BG,shape_BAG,
map_shape_BGBR,pdp_stone.shape_BGBR,shape_BAG,cut_BRI
map_shape_BGBT,pdp_stone.shape_BGBT,,cut_BUFF
map_shape_BGCAB,pdp_stone.shape_BGCAB,,cut_CAB
map_shape_BR_RD,pdp_stone.shape_BR_RD,shape_RD,
map_shape_BRD,pdp_stone.shape_BRD,shape_RD,
map_shape_CCBRI,pdp_stone.shape_CCBRI,,cut_CAB
map_shape_CHM,pdp_stone.shape_CHM,,cut_CAB
map_shape_CUBRI,pdp_stone.shape_CUBRI,shape_CUSH,cut_BRI
map_shape_CUBUF,pdp_stone.shape_CUBUF,shape_CUSH,cut_BUFF
map_shape_CUCAB,pdp_stone.shape_CUCAB,shape_CUSH,cut_CAB
map_shape_CUS,pdp_stone.shape_CUS,shape_CUSH,
map_shape_DBC,pdp_stone.shape_DBC,,cut_BRI
map_shape_DBCF,pdp_stone.shape_DBCF,shape_CUSH,cut_FACE
map_shape_DBO,pdp_stone.shape_DBO,shape_OVAL,cut_BRI
map_shape_DBP,pdp_stone.shape_DBP,shape_DROP,
map_shape_DBR,pdp_stone.shape_DBR,shape_DROP,
map_shape_DCC,pdp_stone.shape_DCC,shape_CUSH,cut_CAB
map_shape_DCD,pdp_stone.shape_DCD,,cut_CAB
map_shape_DCDP,pdp_stone.shape_DCDP,shape_DROP,cut_CAB
map_shape_DCMQ,pdp_stone.shape_DCMQ,shape_MARQ,cut_CAB
map_shape_DCO,pdp_stone.shape_DCO,shape_OVAL,cut_CAB
map_shape_DCPS,pdp_stone.shape_DCPS,shape_PEAR,cut_CAB
map_shape_DCR,pdp_stone.shape_DCR,shape_RD,cut_CAB
map_shape_DFB,pdp_stone.shape_DFB,,cut_FLAT
map_shape_DFOV,pdp_stone.shape_DFOV,shape_OVAL,cut_FACE
map_shape_DFPS,pdp_stone.shape_DFPS,,cut_FACE
map_shape_DFS,pdp_stone.shape_DFS,,cut_FLAT
map_shape_DKF,pdp_stone.shape_DKF,,cut_FLAT
map_shape_DKS,pdp_stone.shape_DKS,,cut_SMOO
map_shape_DNOV,pdp_stone.shape_DNOV,shape_OVAL,
map_shape_DOB,pdp_stone.shape_DOB,,cut_FACE
map_shape_DP,pdp_stone.shape_DP,shape_DROP,
map_shape_DRF,pdp_stone.shape_DRF,shape_DROP,
map_shape_DRL,pdp_stone.shape_DRL,shape_DROP,
map_shape_DRP,pdp_stone.shape_DRP,shape_DROP,
map_shape_DRS,pdp_stone.shape_DRS,shape_DROP,
map_shape_FCU,pdp_stone.shape_FCU,shape_CUSH,cut_FLAT
map_shape_FKT,pdp_stone.shape_FKT,,cut_FLAT
map_shape_FMQ,pdp_stone.shape_FMQ,shape_MARQ,cut_FLAT
map_shape_FOV,pdp_stone.shape_FOV,shape_OVAL,cut_FLAT
map_shape_FPS,pdp_stone.shape_FPS,shape_PEAR,cut_FLAT
map_shape_FRB,pdp_stone.shape_FRB,shape_BAG,
map_shape_FRD,pdp_stone.shape_FRD,shape_RD,cut_FLAT
map_shape_FRP,pdp_stone.shape_FRP,shape_PEAR,
map_shape_FRS,pdp_stone.shape_FRS,shape_SQU,
map_shape_FSQ,pdp_stone.shape_FSQ,shape_SQU,cut_FLAT
map_shape_FTBG,pdp_stone.shape_FTBG,shape_BAG,cut_FLAT
map_shape_FTP,pdp_stone.shape_FTP,,cut_FLAT
map_shape_FTR,pdp_stone.shape_FTR,shape_TRI,cut_FLAT
map_shape_HB,pdp_stone.shape_HB,shape_HRT,
map_shape_HMBR,pdp_stone.shape_HMBR,,cut_BRI
map_shape_HS,pdp_stone.shape_HS,shape_HRT,
map_shape_HSB,pdp_stone.shape_HSB,shape_HRT,
map_shape_HSCAB,pdp_stone.shape_HSCAB,shape_HRT,cut_CAB
map_shape_HSF,pdp_stone.shape_HSF,shape_HRT,cut_FLAT
map_shape_HSS,pdp_stone.shape_HSS,shape_HRT,cut_SMOO
map_shape_HST,pdp_stone.shape_HST,shape_HRT,cut_BUFF
map_shape_MQ,pdp_stone.shape_MQ,shape_MARQ,
map_shape_MQB,pdp_stone.shape_MQB,shape_MARQ,
map_shape_MQBR,pdp_stone.shape_MQBR,shape_MARQ,cut_BRI
map_shape_MQBRI,pdp_stone.shape_MQBRI,shape_MARQ,cut_CAB
map_shape_MQCAB,pdp_stone.shape_MQCAB,shape_MARQ,cut_CAB
map_shape_MXCAB,pdp_stone.shape_MXCAB,,cut_CAB
map_shape_OCBT,pdp_stone.shape_OCBT,,cut_BUFF
map_shape_OCRC,pdp_stone.shape_OCRC,,cut_ROSE
map_shape_ORC,pdp_stone.shape_ORC,shape_OVAL,cut_ROSE
map_shape_OTCAB,pdp_stone.shape_OTCAB,,cut_CAB
map_shape_OV,pdp_stone.shape_OV,shape_OVAL,
map_shape_OV_BR,pdp_stone.shape_OV_BR,shape_OVAL,cut_CAB
map_shape_OVB,pdp_stone.shape_OVB,shape_OVAL,cut_BUFF
map_shape_OVBRI,pdp_stone.shape_OVBRI,shape_OVAL,
map_shape_OVCAB,pdp_stone.shape_OVCAB,shape_OVAL,cut_CAB
map_shape_OVCAV,pdp_stone.shape_OVCAV,shape_OVAL,
map_shape_OVT,pdp_stone.shape_OVT,shape_OVAL,
map_shape_PR,pdp_stone.shape_PR,shape_SQU,cut_PRINC
map_shape_PS,pdp_stone.shape_PS,shape_PEAR,
map_shape_PS_BR,pdp_stone.shape_PS_BR,,cut_CAB
map_shape_PSBRI,pdp_stone.shape_PSBRI,shape_PEAR,
map_shape_PSBT,pdp_stone.shape_PSBT,shape_PEAR,
map_shape_PSCAB,pdp_stone.shape_PSCAB,shape_PEAR,cut_CAB
map_shape_PSCAV,pdp_stone.shape_PSCAV,shape_PEAR,
map_shape_PSF,pdp_stone.shape_PSF,shape_PEAR,cut_FLAT
map_shape_PSS,pdp_stone.shape_PSS,shape_PEAR,cut_SMOO
map_shape_RADI,pdp_stone.shape_RADI,,cut_RAD
map_shape_RD,pdp_stone.shape_RD,shape_RD,
map_shape_RD_BR,pdp_stone.shape_RD_BR,shape_RD,cut_CAB
map_shape_RDBT,pdp_stone.shape_RDBT,shape_RD,cut_BUFF
map_shape_RDCAB,pdp_stone.shape_RDCAB,shape_RD,cut_CAB
map_shape_RDF,pdp_stone.shape_RDF,,cut_FACE
map_shape_RDWFC,pdp_stone.shape_RDWFC,shape_RD,
map_shape_RDWSC,pdp_stone.shape_RDWSC,shape_RD,
map_shape_RO,pdp_stone.shape_RO,,cut_ROSE
map_shape_ROF,pdp_stone.shape_ROF,,cut_FACE
map_shape_ROOV,pdp_stone.shape_ROOV,shape_OVAL,cut_ROSE
map_shape_ROPS,pdp_stone.shape_ROPS,,cut_ROSE
map_shape_RORD,pdp_stone.shape_RORD,shape_RD,cut_ROSE
map_shape_ROTR,pdp_stone.shape_ROTR,shape_TRI,cut_ROSE
map_shape_SQ,pdp_stone.shape_SQ,shape_SQU,
map_shape_SQBF,pdp_stone.shape_SQBF,shape_SQU,cut_BUFF
map_shape_SQBR,pdp_stone.shape_SQBR,shape_SQU,
map_shape_SQCAB,pdp_stone.shape_SQCAB,shape_SQU,cut_CAB
map_shape_SQF,pdp_stone.shape_SQF,shape_SQU,
map_shape_SQS,pdp_stone.shape_SQS,shape_SQU,cut_SMOO
map_shape_TPBT,pdp_stone.shape_TPBT,,cut_BUFF
map_shape_TPCAB,pdp_stone.shape_TPCAB,,cut_CAB
map_shape_TR,pdp_stone.shape_TR,shape_TRI,
map_shape_TRB,pdp_stone.shape_TRB,shape_TRI,
map_shape_TRBT,pdp_stone.shape_TRBT,,cut_BUFF
map_shape_TRCAB,pdp_stone.shape_TRCAB,shape_TRI,cut_CAB
map_shape_TRCBR,pdp_stone.shape_TRCBR,,cut_BRI
map_shape_TRG,pdp_stone.shape_TRG,shape_TRIAN,
map_shape_TUBFC,pdp_stone.shape_TUBFC,,cut_FACE
