id,code,name,french_name,type_id:id,shade_id:id
stone_AG,AG,Agate,Agate,pdp_stone.type_AGA,
stone_W_AG,W.AG,White Agate,Agate Blanche,pdp_stone.type_AGA,pdp_stone.shade_WH
stone_BK_AG,BK.AG,Black Agate,Agate Noire,pdp_stone.type_AGA,pdp_stone.shade_BK
stone_PK_AG,PK.AG,Pink Agate,Agate Rose,pdp_stone.type_AGA,pdp_stone.shade_PK
stone_R_AG,R.AG,Red Agate,Agate Rouge,pdp_stone.type_AGA,pdp_stone.shade_RED
stone_AQ,AQ,Aquamarine,Aigue-Marine,pdp_stone.type_AQ,
stone_AQ2A,AQ2A,Dark Aquamarine,Aigue-Marine Foncée,pdp_stone.type_AQ,pdp_stone.shade_AAA
stone_AQ_MK,AQ.MK,Milky Aquamarine,Aigue-Marine Lactée,pdp_stone.type_AQ,pdp_stone.shade_ML
stone_AQ3A,AQ3A,Very Dark Aquamarine,Aigue-Marine trés Foncée,pdp_stone.type_AQ,pdp_stone.shade_AAAA
stone_AMZ,AMZ,Amazonite,Amazonite,pdp_stone.type_AMZ,
stone_AM1A,AM1A,Amethyst,Améthyste,pdp_stone.type_AME,
stone_LAM,LAM,Light Amethyst,Améthyste Claire,pdp_stone.type_AME,pdp_stone.shade_A
stone_AM_C,AM.C,Cloudy Amethyst,Améthyste Cloudy,pdp_stone.type_AME,pdp_stone.shade_CDY
stone_AM2A,AM2A,Dark Amethyst,Améthyste Foncée,pdp_stone.type_AME,pdp_stone.shade_AAA
stone_AM_MK,AM.MK,Milky Amethyst,Améthyste Lactée,pdp_stone.type_AME,pdp_stone.shade_ML
stone_RDF,RDF,Rose de France Amethyst,Améthyste Rose de France,pdp_stone.type_RDF,
stone_AM3A,AM3A,Very Dark Amethyst,Améthyste très Foncée,pdp_stone.type_AME,pdp_stone.shade_AAAA
stone_APA,APA,Apatite,Apatite,pdp_stone.type_AP,
stone_AVE,AVE,Aventurine,Aventurine,pdp_stone.type_AVT,
stone_G_AVE,G.AVE,Green Aventurine,Aventurine Verte,pdp_stone.type_AVT,pdp_stone.shade_GR
stone_HE2A,HE2A,Golden Beryl/ Heliodor,Beryl Doré / Héliodor,pdp_stone.type_BRL,
stone_HE1A,HE1A,Yellow Beryl / Light Heliodor,Beryl Jaune / Héliodor Clair,pdp_stone.type_BRL,pdp_stone.shade_YL
stone_G_BE,G.BE,Beryl Green,Beryl Vert,pdp_stone.type_BRL,pdp_stone.shade_GR
stone_CH,CH,Chalcedony,Calcédoine,pdp_stone.type_CHA,
stone_VI_CH,VI.CH,Purple Chaceldony,Calcédoine Violette,pdp_stone.type_CHA,pdp_stone.shade_PURP
stone_B_CH,B.CH,Chalcedony Blue,Calcédoine Bleue,pdp_stone.type_CHA,pdp_stone.shade_BL
stone_DB_CH,DB.CH,Chalcedony Dark Blue,Calcédoine Bleue Foncée,pdp_stone.type_CHA,pdp_stone.shade_BL
stone_PK_CH,PK.CH,Chalcedony Pink,Calcédoine Rose,pdp_stone.type_CHA,pdp_stone.shade_PK
stone_CALC,CALC,Calcite,Calcite,pdp_stone.type_CAC,
stone_G_CHRY,G.CHRY,Chrysoberyl Green,Chrysoberyl Vert,pdp_stone.type_CHR,pdp_stone.shade_GR
stone_CHRY,CHRY,Chrysoberyl,Chrysoberyl,pdp_stone.type_CHR,
stone_CPZ,CPZ,Chrysoprase,Chrysoprase/Prasiolite/Prase,pdp_stone.type_CHRP,
stone_CT1A,CT1A,Citrine,Citrine,pdp_stone.type_CIT,
stone_CT3A,CT3A,Citrine Orange,Citrine Orange,pdp_stone.type_CIT,pdp_stone.shade_OR
stone_CT4A,CT4A,Citrine Orange Dark,Citrine Orange Foncée,pdp_stone.type_CIT,pdp_stone.shade_OR
stone_CT2A,CT2A,Citrine Orangée,Citrine Orangée,pdp_stone.type_CIT,
stone_COR,COR,Corail,Corail,pdp_stone.type_CORAL,
stone_OR_CO,OR.CO,Corail Orange,Corail Orange,pdp_stone.type_CORAL,pdp_stone.shade_OR
stone_COR_REC,COR.REC,Corail Reconstitué,Corail Reconstitué,pdp_stone.type_CORAL,pdp_stone.shade_REC
stone_R_COR,R.COR,Corail Red,Corail Rouge,pdp_stone.type_CORAL,pdp_stone.shade_RED
stone_CARN,CARN,Carnelian,Cornaline,pdp_stone.type_CAR,
stone_KYA,KYA,Kyanite,Cyanite,pdp_stone.type_KYA,
stone_DTS,DTS,Diamant,Diamant,pdp_stone.type_DTS,
stone_W_DT,W.DT,White Diamant,Diamant Blanc,pdp_stone.type_DTS,pdp_stone.shade_WH
stone_TTLB,TTLB,Diamonds TT,Diamants TT,pdp_stone.type_DTS,pdp_stone.shade_T2
stone_BR_DT,BR.DT,Brown Diamant,Diamant Brun,pdp_stone.type_DTS,pdp_stone.shade_BR
stone_CHA_DT,CHA.DT,Champagne Diamant,Diamant Champagne,pdp_stone.type_DTS,pdp_stone.shade_CHP
stone_CHO_DT,CHO.DT,Chocolat Diamant,Diamant Chocolat,pdp_stone.type_DTS,pdp_stone.shade_BR
stone_CO_DT,CO.DT,Diamant Cognac,Diamant Cognac,pdp_stone.type_COG,
stone_GY_DT,GY.DT,Grey Diamant,Diamant Gris,pdp_stone.type_DTS,pdp_stone.shade_GY
stone_Y_DT,Y.DT,Yellow Diamant,Diamant Jaune,pdp_stone.type_DTS,pdp_stone.shade_YL
stone_BK_DT,BK.DT,Black Diamant,Diamant Noir,pdp_stone.type_DTS,pdp_stone.shade_BK
stone_DIO,DIO,Diopside,Diopside,pdp_stone.type_DIO,
stone_G_DIO,G.DIO,Green Diopside,Diopside Vert,pdp_stone.type_DIO,pdp_stone.shade_GR
stone_BK_DIO,BK.DIO,Black Diopside,Diopside Noir,pdp_stone.type_BDI,
stone_EBO,EBO,Ebony,Ebène,,
stone_EM,EM,Emeraude,Emeraude,pdp_stone.type_EM,
stone_EM2A,EM2A,Dark Emeraude,Emeraude Foncée,pdp_stone.type_EM,pdp_stone.shade_AAA
stone_GA,GA,Garnet,Grenat,pdp_stone.type_GA,
stone_Y_GA,Y.GA,Garnet Yellow,Grenat Jaune,pdp_stone.type_GA,pdp_stone.shade_YL
stone_PK_GA,PK.GA,Pink Garnet,Grenat Rose,pdp_stone.type_GA,pdp_stone.shade_PK
stone_VI_GA,VI.GA,Garnet Pink-Violet,Grenat Rose-Violet,pdp_stone.type_GA,
stone_CA_GA,CA.GA,Cassis Garnet,Grenat Violet-Rouge/Cassis,pdp_stone.type_GA,
stone_IOL,IOL,Iolite,Iolite,pdp_stone.type_IOL,
stone_LIO,LIO,Iolite Light,Iolite Claire,pdp_stone.type_IOL,pdp_stone.shade_A
stone_IO2A,IO2A,Iolite Dark,Iolite Foncée,pdp_stone.type_IOL,pdp_stone.shade_AAA
stone_JAD,JAD,Jade,Jade,pdp_stone.type_JAD,
stone_LAV_JAD,LAV.JAD,Lavander Jade,Jade Lavande,pdp_stone.type_JAD,pdp_stone.shade_LAV
stone_R_JAD,R.JAD,Red Jade,Jade Rouge,pdp_stone.type_JAD,pdp_stone.shade_RED
stone_G_JAD,G.JAD,Green Jade,Jade Verte,pdp_stone.type_JAD,pdp_stone.shade_GR
stone_R_JAS,R.JAS,Red Jasper,Jaspe Rouge,pdp_stone.type_JSP,pdp_stone.shade_RED
stone_BLO_JAS,BLO.JAS,Jasper Bloody,Jaspe Sanguin,pdp_stone.type_JSP,
stone_KUN,KUN,Kunzite,Kunzite,pdp_stone.type_KUN,
stone_LAB,LAB,Labradorite,Labradorite,pdp_stone.type_LAB,
stone_LAP,LAP,Lapis lazuli,Lapis lazuli,pdp_stone.type_LAP,
stone_LQ,LQ,Lemon Quartz,Lemon Quartz,pdp_stone.type_LAQ,
stone_MALA,MALA,Malachite,Malachite,pdp_stone.type_MLK,
stone_METE,METE,Météorite,Météorite,,
stone_MOR,MOR,Morganite,Morganite,pdp_stone.type_MOR,
stone_MOP,MOP,Mother of Pearl,Nacre,pdp_stone.type_MOP,
stone_W_MOP,W.MOP,Nacre White,Nacre Blanche,pdp_stone.type_MOP,pdp_stone.shade_WH
stone_GY_MOP,GY.MOP,Nacre Grise,Nacre Grise,pdp_stone.type_MOP,
stone_BK_MOP,BK.MOP,Nacre Black,Nacre Noire,pdp_stone.type_MOP,pdp_stone.shade_BK
stone_PK_MOP,PK.MOP,Nacre Pink,Nacre Rose,pdp_stone.type_MOP,pdp_stone.shade_PK
stone_T_EYE,T.EYE,Tiger's Eye,Oeil de Tigre,pdp_stone.type_TIG,
stone_F_EYE,F.EYE,Falcon's Eye,Oeil de Faucon,,
stone_B_EYE,B.EYE,Bull's Eye,Oeil de Taureau,,
stone_B_T_EYE,B.T.EYE,Blue Tiger's Eye,Oeil de Tigre bleu,pdp_stone.type_TIG,pdp_stone.shade_BL
stone_ONYX,ONYX,Onyx,Onyx,pdp_stone.type_ONY,
stone_W_ONYX,W.ONYX,Blanc Onyx,Onyx Blanc,pdp_stone.type_ONY,
stone_OPA,OPA,Opal,Opale,pdp_stone.type_OP,
stone_W_OP,W.OP,White Opale,Opale Blanche,pdp_stone.type_OP,pdp_stone.shade_WH
stone_B_OP,B.OP,Blue Opale,Opale bleue,pdp_stone.type_OP,pdp_stone.shade_BL
stone_F_OP,F.OP,Opale de Feu,Opale de Feu,pdp_stone.type_OP,
stone_BK_OP,BK.OP,Black Opale,Opale Noire,pdp_stone.type_OP,pdp_stone.shade_BK
stone_PK_OP,PK.OP,Pink Opale,Opale Rose,pdp_stone.type_OP,pdp_stone.shade_PK
stone_PER,PER,Peridot,Peridot,pdp_stone.type_PER,
stone_PRL,PRL,Pearl,Perle,pdp_stone.type_PRL,
stone_BA_PRL,BA.PRL,Barok Pearl,Perle Baroque,pdp_stone.type_PRL,
stone_W_PRL,W.PRL,White Pearl,Perle Blanche,pdp_stone.type_PRL,pdp_stone.shade_WH
stone_WBA_PRL,WBA.PRL,White Barok Pearl,Perle Blanche Baroque,pdp_stone.type_PRL,pdp_stone.shade_WH
stone_WDRO_PRL,WDRO.PRL,White Drop Pearl,Perle Blanche Goutte,pdp_stone.type_PRL,pdp_stone.shade_WH
stone_CHA_PRL,CHA.PRL,Champagne Pearl,Perle Champagne,pdp_stone.type_PRL,pdp_stone.shade_CHP
stone_TAHI_P,TAHI.P,Pearl of Tahiti,Perle de Tahiti,pdp_stone.type_THP,
stone_PRL_GLA,PRL.GLA,Glass Pearl,Perle de Verre,pdp_stone.type_PRL,
stone_GY_PRL,GY.PRL,Grey Pearl,Perle Grise,pdp_stone.type_PRL,pdp_stone.shade_GY
stone_PK_PRL,PK.PRL,Pink Pearl,Perle Rose,pdp_stone.type_PRL,pdp_stone.shade_PK
stone_MS,MS,Moonstone,Pierre de Lune,pdp_stone.type_MON,
