id,token,type_id:id,shade_id:id
alias_TT,TT,pdp_stone.type_DTS,pdp_stone.shade_T2
alias_DT,DT,pdp_stone.type_DTS,
alias_D,D,pdp_stone.type_DTS,
alias_AM,AM,pdp_stone.type_AME,
alias_L_AM,L.AM,pdp_stone.type_AME,pdp_stone.shade_A
alias_LAM,LAM,pdp_stone.type_AME,pdp_stone.shade_A
alias_RH,RH,pdp_stone.type_RHO,
alias_PE,PE,pdp_stone.type_PER,
alias_PT,PT,pdp_stone.type_TOU,pdp_stone.shade_PK
alias_GT,GT,pdp_stone.type_TOU,pdp_stone.shade_GR
alias_RMS,RMS,pdp_stone.type_MON,pdp_stone.shade_RB
alias_LIO,LIO,pdp_stone.type_IOL,pdp_stone.shade_A
alias_LTSA,LTSA,pdp_stone.type_TSAV,pdp_stone.shade_A
alias_ONYX,ONYX,pdp_stone.type_ONY,
alias_PL,PL,pdp_stone.type_SA,pdp_stone.shade_PL
alias_PM,PM,pdp_stone.type_SA,pdp_stone.shade_PM
alias_PF,PF,pdp_stone.type_SA,pdp_stone.shade_PF
alias_LC,LC,pdp_stone.type_SA,pdp_stone.shade_LC
alias_OC,OC,pdp_stone.type_SA,pdp_stone.shade_OC
alias_TTLB,TTLB,pdp_stone.type_DTS,pdp_stone.shade_T2
alias_PQ,PQ,pdp_stone.type_PQA,
alias_LQ,LQ,pdp_stone.type_LAQ,
alias_TSA,TSA,pdp_stone.type_TSAV,
alias_LTS,LTS,pdp_stone.type_TSAV,pdp_stone.shade_A
alias_CIT3A,CIT3A,pdp_stone.type_CIT,pdp_stone.shade_OR
